Attraction ID,Parent Site ID,Site Name (English),Name (English),Name (Localized),Description (English),Description (Localized),Location Guide (English) 'NULLABLE',Location Guide (Localized) 'NULLABLE',Type,Historical Periods (comma-separated),Latitude 'NULLABLE',Longitude 'NULLABLE',Is Featured?
ATTR-295,SITE-326,Taposiris Magna,Ptolemaic Tower,البرج البطلمي,A substantial stone tower of Ptolemaic construction that once served as a lighthouse or watchtower for the ancient city and its harbor on Lake Mariout.,برج حجري ضخم من البناء البطلمي كان يعمل في الماضي كمنارة أو برج مراقبة للمدينة القديمة وميناءها على بحيرة مريوط.,Northwest corner of the Taposiris Magna archaeological site.,الزاوية الشمالية الغربية للموقع الأثري طابوزيريس ماغنا.,Ruins,Ptolemaic,30.964,29.5162,FALSE
ATTR-296,SITE-326,Taposiris Magna,Ancient City Walls,أسوار المدينة القديمة,"Extensive defensive walls of the ancient city of Taposiris Magna, preserved in sections and outlining the perimeter of this significant Ptolemaic settlement.",أسوار دفاعية ممتدة للمدينة القديمة لطابوزيريس ماغنا، محفوظة في أقسام وتحدد محيط هذه المستوطنة البطلمية المهمة.,Outer perimeter of the Taposiris Magna archaeological site.,المحيط الخارجي للموقع الأثري طابوزيريس ماغنا.,Ruins,Ptolemaic,30.963,29.517,FALSE
ATTR-297,SITE-326,Taposiris Magna,Necropolis Area,منطقة المقابر القديمة,An extensive ancient necropolis containing rock-cut tombs and burial structures associated with the population of Taposiris Magna during the Ptolemaic and Roman periods.,مقبرة قديمة واسعة تحتوي على مقابر منحوتة في الصخر وهياكل جنائزية مرتبطة بسكان طابوزيريس ماغنا خلال الفترتين البطلمية والرومانية.,"Eastern slopes of the Taposiris Magna site, below the main plateau.",المنحدرات الشرقية لموقع طابوزيريس ماغنا، تحت الهضبة الرئيسية.,Tomb,"Ptolemaic, Roman",30.9625,29.5175,FALSE
ATTR-298,SITE-326,Taposiris Magna,Cleopatra Excavation Site,موقع حفريات كليوباترا,"The ongoing archaeological excavation areas where researchers search for evidence of the lost tomb of Queen Cleopatra VII and Mark Antony, attracting international scholarly attention.",مناطق الحفريات الأثرية الجارية حيث يبحث الباحثون عن دليل على قبر الملكة كليوباترا السابعة وماركوس أنطونيوس المفقود، يستقطب اهتماماً علمياً دولياً.,"Multiple trenches throughout the Taposiris Magna site, particularly near the temple.",خنادق متعددة في أرجاء موقع طابوزيريس ماغنا، خاصة بالقرب من المعبد.,Ruins,Ptolemaic,30.9635,29.5167,TRUE
ATTR-299,SITE-327,Shatby Cemetery,Hellenistic Tomb Chambers,حجرات المقابر الهلنستية,"The earliest discovered Hellenistic-era tomb chambers in Alexandria, dating to the late 4th century BC and revealing the initial funerary practices of the newly founded city.",أقدم حجرات المقابر الهلنستية المكتشفة في الإسكندرية، تعود إلى أواخر القرن الرابع قبل الميلاد وتكشف عن ممارسات الدفن الأولى للمدينة المؤسَّسة حديثاً.,Shatby Cemetery archaeological site in the Shatby district of Alexandria.,الموقع الأثري لمقابر الشاطبي في حي الشاطبي بالإسكندرية.,Tomb,Ptolemaic,31.2154,29.9218,TRUE
ATTR-300,SITE-327,Shatby Cemetery,Rock-Cut Burial Niches,كوات الدفن المنحوتة في الصخر,"Individual burial loculi carved into the rock faces within the Shatby Cemetery, used for inhumation burials consistent with Greek cultural practices in early Ptolemaic Alexandria.",كوات دفن فردية منحوتة في الواجهات الصخرية داخل مقابر الشاطبي، استُخدمت للدفن بما يتوافق مع الممارسات الثقافية اليونانية في الإسكندرية البطلمية المبكرة.,Along the rock faces of the Shatby Cemetery burial corridors.,على طول الواجهات الصخرية لممرات الدفن في مقابر الشاطبي.,Tomb,Ptolemaic,31.2153,29.9217,FALSE
ATTR-301,SITE-327,Shatby Cemetery,Funerary Offerings Display Area,منطقة عرض قرابين الدفن,"A designated area within the Shatby Cemetery where artifacts and offerings recovered from the tombs are displayed, illustrating the Greek and Egyptian religious synthesis.",منطقة مخصصة داخل مقابر الشاطبي لعرض القطع الأثرية والقرابين المستخرجة من المقابر، توضح التوليفة الدينية اليونانية المصرية.,Visitor area within the Shatby Cemetery site near the entrance.,منطقة الزوار داخل موقع مقابر الشاطبي بالقرب من المدخل.,MuseumHall,Ptolemaic,31.2155,29.9219,FALSE
ATTR-302,SITE-327,Shatby Cemetery,Earliest Alexandrian Necropolis Site,موقع أقدم مقبرة إسكندرانية,"The historically significant site of the oldest known necropolis of Alexandria, offering unique insights into burial customs at the very founding of the city by Alexander the Great.",الموقع ذو الأهمية التاريخية لأقدم مقبرة معروفة في الإسكندرية، يقدم رؤى فريدة حول عادات الدفن عند تأسيس المدينة على يد الإسكندر الأكبر.,Full extent of the Shatby Cemetery excavation area in Shatby district.,المساحة الكاملة لمنطقة حفريات مقابر الشاطبي في حي الشاطبي.,Ruins,Ptolemaic,31.2154,29.9218,FALSE
ATTR-303,SITE-328,Anfushi Tombs,Tomb I Painted Chambers,حجرات الضريح الأول المزخرفة,"The first tomb complex at Anfushi, featuring painted chambers with colorful imitation marble and architectural decorations in a blend of Egyptian and Hellenistic styles.",مجمع الضريح الأول في الأنفوشي، يضم حجرات مزخرفة برسوم رخام مقلد ملون وزخارف معمارية تمزج الأسلوبين المصري والهلنستي.,Northern section of the Anfushi Tombs site in the Anfushi district of Alexandria.,القسم الشمالي لموقع مقابر الأنفوشي في حي الأنفوشي بالإسكندرية.,Tomb,Ptolemaic,31.209,29.8862,TRUE
ATTR-304,SITE-328,Anfushi Tombs,Tomb II Painted Chambers,حجرات الضريح الثاني المزخرفة,"The second tomb at Anfushi, equally impressive in its painted decorations and offering a comparative study of funerary art styles across the Ptolemaic period.",الضريح الثاني في الأنفوشي، لا يقل روعة في زخارفه المرسومة ويوفر دراسة مقارنة لأساليب الفن الجنائزي عبر العصر البطلمي.,"Southern section of the Anfushi Tombs site, adjacent to Tomb I.",القسم الجنوبي من موقع مقابر الأنفوشي، بجوار الضريح الأول.,Tomb,Ptolemaic,31.2089,29.8861,FALSE
ATTR-305,SITE-328,Anfushi Tombs,Egyptian and Greek Style Murals,جداريات على الطراز المصري واليوناني,Remarkable wall paintings within the Anfushi tombs that display scenes from both Egyptian religious tradition and Greek mythological imagery in a fascinatingly hybrid artistic language.,لوحات جدارية رائعة داخل مقابر الأنفوشي تعرض مشاهد من التراث الديني المصري والصور الأسطورية اليونانية في لغة فنية هجينة رائعة.,Interior walls of both tomb complexes at the Anfushi Tombs site.,الجدران الداخلية لكلا مجمعي الضريح في موقع مقابر الأنفوشي.,Tomb,Ptolemaic,31.209,29.8862,TRUE
ATTR-306,SITE-328,Anfushi Tombs,Central Rock-Cut Courtyard,الفناء المركزي المنحوت في الصخر,"A shared open courtyard hewn from the bedrock, connecting the two tomb complexes and serving as the transitional ceremonial space for funerary rituals.",فناء مفتوح مشترك محفور في الصخر الأساسي، يربط بين مجمعي الضريح ويعمل كمساحة احتفالية انتقالية للطقوس الجنائزية.,Center of the Anfushi Tombs site between the two tomb groupings.,مركز موقع مقابر الأنفوشي بين مجموعتي الضريح.,Ruins,Ptolemaic,31.209,29.8862,FALSE
ATTR-307,SITE-328,Anfushi Tombs,Ptolemaic Funerary Artifacts,مقتنيات الدفن البطلمية,"A selection of ceramic vessels, amulets, and funerary objects recovered from the Anfushi tombs and displayed on-site, providing context for the burial practices of Ptolemaic Alexandria.",مجموعة من الأوعية الخزفية والتمائم ومقتنيات الدفن المستخرجة من مقابر الأنفوشي والمعروضة في الموقع، توفر سياقاً لممارسات الدفن في الإسكندرية البطلمية.,Display area near the entrance of the Anfushi Tombs site.,منطقة العرض بالقرب من مدخل موقع مقابر الأنفوشي.,MuseumHall,Ptolemaic,31.2091,29.8863,FALSE
ATTR-308,SITE-329,Ras el Soda Temple,Sanctuary of Isis,مقدس الإلهة إيزيس,"The inner sanctuary of the Ras el-Soda Temple dedicated to the goddess Isis, containing an important cult statue and ritual objects from the Roman period.",المقدس الداخلي لمعبد رأس السودة المخصص للإلهة إيزيس، يحتوي على تمثال معبودة مهم وأدوات طقوسية من العصر الروماني.,Central chamber of the Ras el-Soda Temple in eastern Alexandria.,الحجرة المركزية لمعبد رأس السودة في شرق الإسكندرية.,Religious,Roman,31.2335,29.9925,TRUE
ATTR-309,SITE-329,Ras el Soda Temple,Roman-Period Altar,مذبح العصر الروماني,A stone altar from the Roman period used for ritual offerings and sacrifices within the Isis temple complex at Ras el-Soda.,مذبح حجري من العصر الروماني استُخدم لتقديم القرابين والذبائح الطقوسية داخل مجمع معبد إيزيس في رأس السودة.,Forecourt of the Ras el-Soda Temple sanctuary.,الفناء الأمامي لمقدس معبد رأس السودة.,Religious,Roman,31.2334,29.9924,FALSE
ATTR-310,SITE-329,Ras el Soda Temple,Carved Deity Reliefs,نقوش الآلهة المنحوتة,"Stone reliefs depicting Isis, Osiris, and associated deities carved on the temple walls, providing valuable iconographic evidence of Roman-era religious syncretism.",نقوش حجرية تصور إيزيس وأوزيريس والآلهة المرتبطة بهم منحوتة على جدران المعبد، وتوفر دليلاً أيقونوغرافياً قيماً على الازدواجية الدينية في العصر الروماني.,Interior walls of the Ras el-Soda Temple complex.,الجدران الداخلية لمجمع معبد رأس السودة.,Religious,Roman,31.2335,29.9925,FALSE
ATTR-311,SITE-329,Ras el Soda Temple,Temple Forecourt,الفناء الأمامي للمعبد,"The open forecourt preceding the inner sanctuary of the Ras el-Soda Temple, where worshippers would have gathered and ritual processions assembled.",الفناء المفتوح الذي يسبق المقدس الداخلي لمعبد رأس السودة، حيث كان المؤمنون يجتمعون وتتجمع المواكب الطقوسية.,Entrance area of the Ras el-Soda Temple site in eastern Alexandria.,منطقة المدخل لموقع معبد رأس السودة في شرق الإسكندرية.,Religious,Roman,31.2333,29.9923,FALSE
ATTR-312,SITE-330,Cavafy Museum,Cavafy's Preserved Apartment,شقة كفافيس المحفوظة,"The faithfully preserved apartment of the great Greek-Alexandrian poet Constantine P. Cavafy, maintained as it was during his lifetime and offering an intimate glimpse into his world.",الشقة المحفوظة بإخلاص للشاعر اليوناني الإسكندري العظيم قسطنطين كفافيس، محتفظة بها كما كانت في حياته وتقدم نظرة حميمة إلى عالمه.,Second floor of the Cavafy Museum building on Sharm el-Sheikh Street in central Alexandria.,الطابق الثاني من مبنى متحف كفافيس في شارع شرم الشيخ بوسط الإسكندرية.,MuseumHall,Modern Era,31.2006,29.9157,TRUE
ATTR-313,SITE-330,Cavafy Museum,Personal Manuscripts and Letters Room,غرفة المخطوطات والرسائل الشخصية,"A room displaying original handwritten manuscripts, personal letters, and literary drafts of Cavafy, providing unparalleled insight into his creative process and private correspondence.",غرفة تعرض المخطوطات الأصلية المكتوبة بخط اليد والرسائل الشخصية والمسودات الأدبية لكفافيس، وتقدم نظرة لا مثيل لها في عمليته الإبداعية ومراسلاته الخاصة.,Study room of the preserved Cavafy apartment in the Cavafy Museum.,غرفة الدراسة في شقة كفافيس المحفوظة بمتحف كفافيس.,MuseumHall,Modern Era,31.2006,29.9157,FALSE
ATTR-314,SITE-330,Cavafy Museum,Original Furniture and Belongings Display,معرض الأثاث والمقتنيات الأصلية,"A display of the original furniture, household objects, and personal belongings of Cavafy, arranged as they were during his residence to recreate the atmosphere of his daily life.",معرض للأثاث الأصلي والأشياء المنزلية والمقتنيات الشخصية لكفافيس، مرتبة كما كانت أثناء إقامته لاستعادة أجواء حياته اليومية.,Living and bedroom areas of the preserved Cavafy apartment.,مناطق المعيشة وغرفة النوم في شقة كفافيس المحفوظة.,MuseumHall,Modern Era,31.2006,29.9157,FALSE
ATTR-315,SITE-330,Cavafy Museum,Poetry and Publications Archive,أرشيف الشعر والمنشورات,"An archive room housing first editions of Cavafy's poetry collections, literary journals featuring his work, and critical publications about his influential body of writing.",غرفة أرشيف تضم الطبعات الأولى من مجموعات شعر كفافيس والمجلات الأدبية التي تتضمن أعماله والمنشورات النقدية حول مسيرته الأدبية المؤثرة.,"Archival section of the Cavafy Museum, upper floor.",قسم الأرشيف بمتحف كفافيس، الطابق العلوي.,MuseumHall,Modern Era,31.2007,29.9158,FALSE
ATTR-316,SITE-330,Cavafy Museum,Photographs and Portraits Gallery,قاعة الصور والبورتريهات,"A gallery of historical photographs and painted portraits of Cavafy throughout his life, alongside images of the Alexandria he inhabited and the literary circles he frequented.",قاعة صور فوتوغرافية تاريخية وبورتريهات مرسومة لكفافيس عبر مراحل حياته، إلى جانب صور الإسكندرية التي عاش فيها والأوساط الأدبية التي كان يرتادها.,Ground floor gallery of the Cavafy Museum near the main entrance.,قاعة الطابق الأرضي بمتحف كفافيس بالقرب من المدخل الرئيسي.,MuseumHall,Modern Era,31.2005,29.9156,FALSE
ATTR-317,SITE-331,Monastery of Saint Mina,Shrine of Saint Mina,ضريح الشهيد مارمينا,"The sacred shrine enshrining the relics of Saint Mina (Menas), the Egyptian martyr and patron saint of Alexandria, a major destination for Coptic Christian pilgrims.",الضريح المقدس الذي يحتضن رفات القديس مارمينا (مينا)، الشهيد المصري وشفيع الإسكندرية، وهو وجهة رئيسية لحجاج الأقباط المسيحيين.,"Central chapel of the Monastery of Saint Mina in Abu Mena, near Alexandria.",الكنيسة المركزية لدير مارمينا في أبو مينا، بالقرب من الإسكندرية.,Church,"Byzantine, Modern Era",30.8417,29.6667,TRUE
ATTR-318,SITE-331,Monastery of Saint Mina,Main Monastery Church,الكنيسة الرئيسية للدير,"The grand main church of the Monastery of Saint Mina, hosting regular Coptic liturgical services and accommodating pilgrims visiting the shrine of the patron saint.",الكنيسة الرئيسية الكبرى لدير مارمينا، تستضيف القداسات الليتورجية القبطية المنتظمة وتستوعب الحجاج الزائرين لضريح القديس الشفيع.,Main building of the Monastery of Saint Mina complex.,المبنى الرئيسي لمجمع دير مارمينا.,Church,"Byzantine, Modern Era",30.8418,29.6668,FALSE
ATTR-319,SITE-331,Monastery of Saint Mina,Monks' Quarters,مقار الرهبان,"The residential quarters where Coptic monks of the Monastery of Saint Mina live in accordance with monastic discipline, maintaining the ancient tradition of Egyptian desert monasticism.",المقار السكنية حيث يعيش الرهبان الأقباط في دير مارمينا وفق الانضباط الرهباني، محافظين على التراث القديم للرهبانية الصحراوية المصرية.,"Within the walled enclosure of the Monastery of Saint Mina, separate from the public areas.",داخل السور المسوَّر لدير مارمينا، بعيداً عن المناطق العامة.,Church,"Byzantine, Modern Era",30.8415,29.6665,FALSE
ATTR-320,SITE-331,Monastery of Saint Mina,Icon and Relic Collection,مجموعة الأيقونات والذخائر,"A sacred collection of Coptic icons and holy relics venerated by pilgrims at the Monastery of Saint Mina, representing centuries of Coptic artistic and spiritual heritage.",مجموعة مقدسة من الأيقونات القبطية والذخائر المقدسة التي يبجلها الحجاج في دير مارمينا، وتمثل قروناً من التراث الفني والروحي القبطي.,Within the main church and treasury of the Monastery of Saint Mina.,داخل الكنيسة الرئيسية وخزينة دير مارمينا.,Church,"Byzantine, Modern Era",30.8417,29.6667,FALSE
ATTR-321,SITE-332,Sacred Heart Church,Main Nave and Altar,الصحن الرئيسي والمذبح,"The elegant main nave of the Sacred Heart Church in Alexandria, featuring a soaring vaulted ceiling, classical columns, and a richly adorned altar in the Latin Catholic tradition.",الصحن الرئيسي الأنيق لكنيسة القلب المقدس في الإسكندرية، يتميز بسقف مقبب شاهق وأعمدة كلاسيكية ومذبح مزخرف بشكل غني في تقليد الكنيسة الكاثوليكية اللاتينية.,Interior of Sacred Heart Church in the Cleopatra district of Alexandria.,داخل كنيسة القلب المقدس في حي كليوباترا بالإسكندرية.,Church,Modern Era,31.2185,29.9497,TRUE
ATTR-322,SITE-332,Sacred Heart Church,Stained Glass Windows,النوافذ الزجاجية الملونة,"A series of magnificent stained glass windows illuminating the nave with colored light, depicting scenes from the life of Christ and the Sacred Heart in European artistic tradition.",سلسلة من النوافذ الزجاجية الملونة الرائعة التي تضيء الصحن بالضوء الملون، تصور مشاهد من حياة المسيح والقلب المقدس في التقليد الفني الأوروبي.,Along both sides of the main nave of Sacred Heart Church.,على جانبي الصحن الرئيسي لكنيسة القلب المقدس.,Church,Modern Era,31.2185,29.9497,FALSE
ATTR-323,SITE-332,Sacred Heart Church,Latin-Style Bell Tower,برج الأجراس على الطراز اللاتيني,"A tall bell tower in the Latin ecclesiastical style, attached to the Sacred Heart Church building and serving as a landmark in the residential neighborhood of Alexandria.",برج أجراس طويل على الطراز الكنسي اللاتيني، ملحق بمبنى كنيسة القلب المقدس ويعمل كمعلم في الحي السكني في الإسكندرية.,"Exterior of Sacred Heart Church, attached to the main façade.",الواجهة الخارجية لكنيسة القلب المقدس، ملحق بالواجهة الرئيسية.,Church,Modern Era,31.2184,29.9496,FALSE
ATTR-324,SITE-332,Sacred Heart Church,Chapel of the Sacred Heart,كنيسة القلب المقدس الداخلية,"An intimate side chapel within Sacred Heart Church dedicated to veneration of the Sacred Heart of Jesus, offering a quiet space for private prayer and contemplation.",كنيسة جانبية حميمة داخل كنيسة القلب المقدس مخصصة لتبجيل القلب المقدس ليسوع، توفر مكاناً هادئاً للصلاة الخاصة والتأمل.,"Side aisle of Sacred Heart Church interior, Alexandria.",الممر الجانبي داخل كنيسة القلب المقدس، الإسكندرية.,Church,Modern Era,31.2185,29.9498,FALSE
ATTR-325,SITE-333,Saint Catherine Cathedral,Main Cathedral Hall,القاعة الرئيسية للكاتدرائية,"The spacious and beautifully decorated main hall of Saint Catherine's Greek Catholic Cathedral in Alexandria, reflecting the rich heritage of the Eastern Catholic tradition.",القاعة الرئيسية الفسيحة والمزخرفة بشكل جميل لكاتدرائية القديسة كاترين الكاثوليكية اليونانية في الإسكندرية، تعكس التراث الغني للتقليد الكاثوليكي الشرقي.,"Interior of Saint Catherine Cathedral in Mansheya Square, Alexandria.",داخل كاتدرائية القديسة كاترين في ميدان المنشية، الإسكندرية.,Church,Modern Era,31.1997,29.9048,TRUE
ATTR-326,SITE-333,Saint Catherine Cathedral,Altar of Saint Catherine,مذبح القديسة كاترين,"The principal altar of the cathedral dedicated to Saint Catherine of Alexandria, the early Christian martyr and patroness of scholars, adorned with religious imagery and gold ornamentation.",المذبح الرئيسي للكاتدرائية المخصصة للقديسة كاترين الإسكندرية، الشهيدة المسيحية الأولى وراعية العلماء، مزين بالصور الدينية والزخارف الذهبية.,At the eastern apse of the main hall of Saint Catherine Cathedral.,عند الحنية الشرقية للقاعة الرئيسية لكاتدرائية القديسة كاترين.,Church,Modern Era,31.1997,29.9048,FALSE
ATTR-327,SITE-333,Saint Catherine Cathedral,Mosaic and Fresco Decorations,زخارف الفسيفساء والفرسك,"Elaborate mosaic and fresco decorations covering the walls and ceilings of Saint Catherine Cathedral, depicting biblical scenes and saints in Byzantine-influenced artistic style.",زخارف فسيفساء وفرسك متقنة تغطي جدران وأسقف كاتدرائية القديسة كاترين، تصور مشاهد إنجيلية وقديسين في أسلوب فني متأثر بالبيزنطية.,"Throughout the interior of Saint Catherine Cathedral, Alexandria.",في جميع أرجاء الجزء الداخلي لكاتدرائية القديسة كاترين، الإسكندرية.,Church,Modern Era,31.1997,29.9048,FALSE
ATTR-328,SITE-333,Saint Catherine Cathedral,Cathedral Garden Courtyard,فناء حديقة الكاتدرائية,"A tranquil walled garden courtyard adjacent to Saint Catherine Cathedral, offering a peaceful retreat within the bustling urban surroundings of central Alexandria.",فناء حديقة محاط بالجدران مجاور لكاتدرائية القديسة كاترين، يوفر ملاذاً هادئاً وسط المحيط الحضري المزدحم في وسط الإسكندرية.,"Exterior grounds of Saint Catherine Cathedral, accessible from the side entrance.",أراضي الواجهة الخارجية لكاتدرائية القديسة كاترين، ويمكن الوصول إليها من المدخل الجانبي.,nature,Modern Era,31.1996,29.9047,FALSE
ATTR-329,SITE-334,Terbanh Mosque,Ottoman-Style Prayer Hall,قاعة الصلاة على الطراز العثماني,"A beautifully proportioned prayer hall in the Ottoman architectural tradition, featuring a central dome, semicircular arches, and intricate decorative tilework.",قاعة صلاة ذات نسب جميلة في التقليد المعماري العثماني، تتميز بقبة مركزية وأقواس نصف دائرية وأعمال بلاط زخرفية معقدة.,Interior of the Terbanh Mosque in the historic Anfushi quarter of Alexandria.,داخل مسجد تربانة في حي الأنفوشي التاريخي بالإسكندرية.,Mosque,Ottoman,31.2044,29.8871,TRUE
ATTR-330,SITE-334,Terbanh Mosque,Historic Minaret,المئذنة التاريخية,"The slender and elegant minaret of Terbanh Mosque, a fine example of Ottoman minaret design that rises above the rooftops of the Anfushi quarter of Alexandria.",المئذنة النحيلة الأنيقة لمسجد تربانة، مثال رائع لتصميم المئذنة العثمانية التي ترتفع فوق أسطح حي الأنفوشي في الإسكندرية.,"Exterior of Terbanh Mosque, rising above the main prayer hall.",الواجهة الخارجية لمسجد تربانة، ترتفع فوق قاعة الصلاة الرئيسية.,Mosque,Ottoman,31.2044,29.887,FALSE
ATTR-331,SITE-334,Terbanh Mosque,Decorative Tilework Interior,الزخارف الداخلية بالبلاط,"Elaborate İznik-style decorative tiles adorning the lower walls of the mosque interior, featuring floral and geometric patterns characteristic of Ottoman craftsmanship.",بلاط زخرفي متقن على طراز إزنيق يزين الجدران السفلية لداخل المسجد، يتميز بأنماط زهرية وهندسية مميزة للحرفية العثمانية.,Lower wall surfaces of the Terbanh Mosque prayer hall interior.,أسطح الجدران السفلية لداخل قاعة صلاة مسجد تربانة.,Mosque,Ottoman,31.2044,29.8871,FALSE
ATTR-332,SITE-334,Terbanh Mosque,Ablution Fountain Courtyard,فناء نافورة الوضوء,"The traditional ablution courtyard of Terbanh Mosque, centered on a marble ablution fountain where worshippers perform ritual washing before prayer in the Ottoman mosque tradition.",الفناء التقليدي للوضوء في مسجد تربانة، يتمحور حول نافورة وضوء رخامية يتوضأ فيها المصلون قبل الصلاة في تقليد المسجد العثماني.,"Entrance courtyard of Terbanh Mosque, before the main prayer hall.",فناء مدخل مسجد تربانة، قبل قاعة الصلاة الرئيسية.,Mosque,Ottoman,31.2043,29.887,FALSE
ATTR-333,SITE-335,El Nabi Daniel Mosque,Shrine of Sidi Daniel,ضريح سيدي دانيال,"The venerated shrine of Sidi Daniel within the mosque, believed by local tradition to be associated with the Prophet Daniel and attracting devotees seeking blessing.",ضريح سيدي دانيال المبجل داخل المسجد، ويُعتقد وفق التراث المحلي أنه مرتبط بالنبي دانيال ويستقطب المؤمنين الباحثين عن البركة.,Inner chamber of El Nabi Daniel Mosque in central Alexandria.,الحجرة الداخلية لمسجد النبي دانيال في وسط الإسكندرية.,Mosque,Islamic,31.1999,29.906,TRUE
ATTR-334,SITE-335,El Nabi Daniel Mosque,Main Prayer Hall,قاعة الصلاة الرئيسية,"The spacious main prayer hall of El Nabi Daniel Mosque, one of Alexandria's historic mosques located along the ancient colonnade street (ancient Canopic Way).",قاعة الصلاة الرئيسية الفسيحة لمسجد النبي دانيال، أحد مساجد الإسكندرية التاريخية الواقعة على طول شارع الأعمدة القديم (طريق كانوبوس القديم).,"Interior of El Nabi Daniel Mosque on Nabi Daniel Street, Alexandria.",داخل مسجد النبي دانيال في شارع النبي دانيال، الإسكندرية.,Mosque,Islamic,31.1999,29.906,FALSE
ATTR-335,SITE-335,El Nabi Daniel Mosque,Underground Crypt Area,منطقة السرداب تحت الأرض,"The intriguing underground crypt area beneath El Nabi Daniel Mosque, long speculated by local tradition to contain the remains of Alexander the Great, though no archaeological evidence has confirmed this.",منطقة السرداب المثيرة تحت مسجد النبي دانيال، التي يعتقد التراث المحلي منذ أمد بعيد أنها تحتوي على رفات الإسكندر الأكبر، رغم عدم تأكيد ذلك أثرياً.,"Below ground level of El Nabi Daniel Mosque, not publicly accessible.",تحت مستوى الأرض في مسجد النبي دانيال، غير متاح للعامة.,Ruins,"Ptolemaic, Islamic",31.1999,29.906,FALSE
ATTR-336,SITE-335,El Nabi Daniel Mosque,Historic Minaret,المئذنة التاريخية,"The historic minaret of El Nabi Daniel Mosque, a familiar feature of central Alexandria's skyline and a call to prayer heard across the surrounding neighborhood for centuries.",المئذنة التاريخية لمسجد النبي دانيال، معلم مألوف في أفق وسط الإسكندرية وأذان يُسمع عبر الحي المحيط منذ قرون.,Exterior of El Nabi Daniel Mosque on Nabi Daniel Street.,الواجهة الخارجية لمسجد النبي دانيال في شارع النبي دانيال.,Mosque,Islamic,31.1999,29.906,FALSE
ATTR-337,SITE-336,Ras el-Tin Palace,Royal Reception Halls,قاعات الاستقبال الملكية,"The grand ceremonial reception halls of Ras el-Tin Palace, where Egyptian kings hosted heads of state and dignitaries in opulently decorated rooms overlooking the Mediterranean.",قاعات الاستقبال الاحتفالية الفخمة في قصر رأس التين، حيث استضاف ملوك مصر رؤساء الدول والشخصيات البارزة في غرف مزخرفة بفخامة تطل على البحر المتوسط.,Main floor of Ras el-Tin Palace in the Anfushi district of Alexandria.,الطابق الرئيسي لقصر رأس التين في حي الأنفوشي بالإسكندرية.,historical,Modern Era,31.2065,29.8838,TRUE
ATTR-338,SITE-336,Ras el-Tin Palace,Palace Gardens,حدائق القصر,"The extensive and beautifully tended palace gardens of Ras el-Tin, featuring Mediterranean and tropical plantings, shaded promenades, and serene fountain courtyards.",حدائق قصر رأس التين الواسعة والمعتنى بها جيداً، تتميز بنباتات متوسطية واستوائية وممشيات مظللة وأفنية نوافير هادئة.,Surrounding the Ras el-Tin Palace buildings along the western harbor of Alexandria.,تحيط بمباني قصر رأس التين على طول الميناء الغربي للإسكندرية.,nature,Modern Era,31.2067,29.8836,FALSE
ATTR-339,SITE-336,Ras el-Tin Palace,Mediterranean Sea Terrace,تراس البحر المتوسط,A sweeping sea-facing terrace of Ras el-Tin Palace affording commanding views across the Western Harbour of Alexandria and the open Mediterranean beyond.,تراس واسع يطل على البحر في قصر رأس التين يوفر إطلالات سيطرة على الميناء الغربي للإسكندرية والبحر المتوسط المفتوح خلفه.,"Western façade of Ras el-Tin Palace, directly overlooking the sea.",الواجهة الغربية لقصر رأس التين، تطل مباشرة على البحر.,historical,Modern Era,31.2064,29.8835,FALSE
ATTR-340,SITE-336,Ras el-Tin Palace,Royal Throne Room,قاعة العرش الملكي,"The magnificent throne room of Ras el-Tin Palace, where the last Egyptian king, Farouk I, signed his abdication document in 1952 before going into exile.",قاعة العرش الرائعة في قصر رأس التين، حيث وقّع آخر ملوك مصر، فاروق الأول، وثيقة تنازله عن العرش عام 1952 قبل ذهابه إلى المنفى.,Central formal wing of Ras el-Tin Palace main building.,الجناح الرسمي المركزي للمبنى الرئيسي لقصر رأس التين.,historical,Modern Era,31.2065,29.8838,TRUE
ATTR-341,SITE-336,Ras el-Tin Palace,Historic Royal Library,المكتبة الملكية التاريخية,"The distinguished royal library of Ras el-Tin Palace, housing an important collection of rare books, manuscripts, and royal documents accumulated by successive rulers.",المكتبة الملكية المتميزة لقصر رأس التين، تضم مجموعة مهمة من الكتب النادرة والمخطوطات والوثائق الملكية التي جمعها الحكام المتعاقبون.,Upper floor of the main Ras el-Tin Palace building.,الطابق العلوي للمبنى الرئيسي لقصر رأس التين.,historical,Modern Era,31.2066,29.8839,FALSE
ATTR-342,SITE-337,Water Biology Exhibition,Marine Aquarium Tanks,أحواض الأحياء البحرية,"A series of large aquarium tanks displaying living marine organisms from the Eastern Mediterranean, including fish, invertebrates, and crustaceans in naturalistic habitats.",سلسلة من أحواض الأحياء البحرية الكبيرة تعرض كائنات بحرية حية من شرق البحر المتوسط، بما فيها الأسماك واللافقاريات والقشريات في بيئات طبيعية.,Ground floor of the Water Biology Exhibition (Oceanography Institute) in eastern Alexandria.,الطابق الأرضي لمعرض بيولوجيا الماء (معهد أبحاث البحار) في شرق الإسكندرية.,MuseumHall,Modern Era,31.2249,29.9599,TRUE
