Offer ID,Sponsor Name,Title (English),Title (Localized),Description (English),Description (Localized),Terms and Conditions (English) 'NULLABLE',Terms and Conditions (Localized) 'NULLABLE',Discount Amount 'NULLABLE',Discount Percentage 'NULLABLE',Start Validity Period,End Validity Period,Max Redemptions 'NULLABLE',PromoCode 'NULLABLE'
OFFER-189,Sofra Middle East Cuisine,Middle Eastern Evening,عرض المطبخ الشرقي,Free mezze platter with any two main courses ordered.,طبق مقبلات مجاني مع طلب طبقين رئيسيين.,One free mezze per order; valid Thu–Sat evenings.,طبق مقبلات مجاني لكل طلب؛ يوم الخميس إلى السبت وقت المساء فقط.,0,,01/05/2026,30/09/2026,100,SOFRAFREEMEZ
OFFER-190,Talist Siwa,Oasis Escape,عرض هروب الواحة,Book a spa package and save 10% when bundled with a 2-night stay.,احجز باقة سبا واحصل على خصم 10% عند حجز ليلتين أو أكثر.,Spa discount valid only with room booking; new reservations only.,الخصم على السبا ساري فقط مع حجز غرفة؛ الحجوزات الجديدة فقط.,,10%,01/05/2026,31/08/2026,50,OASIS10
OFFER-191,Sol Y Mar Pioneers,Desert Dining Deal,عرض عشاء صحراوي,Enjoy 15% off dinner at our resort restaurant every night.,احصل على خصم 15% على عشاء المطعم في المنتجع كل ليلة.,Valid on dinner items only; dine-in only.,ساري على وجبات العشاء فقط؛ داخل المطعم فقط.,,15%,01/05/2026,30/09/2026,100,DESERT15
OFFER-192,Qasr El Bagawat Hotel,Ancient Ruins Package,باقة الآثار القديمة,Stay 2 nights and get a guided tomb tour at 50% off.,أقم ليلتين واحصل على جولة إرشادية بالمدافن بنصف السعر.,Booking must include the guided tour to get the discount.,يجب تضمين الجولة الإرشادية للحصول على الخصم.,,50%,01/05/2026,30/09/2026,30,RUINSGUIDE
OFFER-193,Basata Lodge,Eco-Lodge Special,عرض نزل بيئي,20% off all stays plus complimentary desert safari tour.,خصم 20% على جميع الإقامات وجولة سفاري صحراوية مجانية.,One safari tour per booking; subject to availability.,جولة سفاري واحدة لكل حجز؛ حسب التوفر.,,20%,01/05/2026,30/09/2026,30,ECO20
OFFER-195,Zein Restaurant,BBQ Night Deal,عرض ليل المشاوي,10% off the total bill on all BBQ platters every Thursday.,خصم 10% على الفاتورة الكاملة على جميع صواني المشاوي كل خميس.,Thursday evenings only; dine-in only.,أيام الخميس مساءً فقط؛ داخل المطعم فقط.,,10%,01/05/2026,30/09/2026,100,ZEIN10
OFFER-196,El Midiaf Restaurant,Quick Lunch Deal,عرض غداء سريع,Get a burger+drink combo for 50 EGP (saving 20%).,احصل على وجبة برجر + مشروب بـ50 جنيه (توفير 20%).,Valid weekdays 12pm–3pm only; dine-in/drive-thru.,سارية في أيام الأسبوع من 12 ظهراً حتى 3 مساءً فقط؛ داخل المطعم أو دريف ثرو.,50,,01/05/2026,30/09/2026,200,BURGER50
OFFER-197,The Moto Cafe,Espresso Happy Hour,عرض الساعة السعيدة,"Buy one espresso-based drink, get one free (Mon–Fri 4–6pm).",اشترِ مشروبًا واحدًا على أساس الإسبريسو واحصل على الثاني مجانًا (اثنين–خميس 4–6م).,Second drink must be of equal or lesser value; in-store only.,المشروب الثاني يجب أن يساوي أو يقل عن قيمة الأول؛ في المتجر فقط.,,50%,01/05/2026,30/09/2026,100,ESPRESSO
OFFER-198,Siwa Shali Resort,Luxury Oasis Package,باقة الواحة الفاخرة,Stay 3 nights and receive a free full-body massage (30 min).,أقم 3 ليالٍ واحصل على جلسة تدليك كاملة مجانية (30 دقيقة).,Offer valid for spa bookings during stay; one massage per booking.,ساري لعروض السبا خلال الإقامة؛ تدليك واحد لكل حجز.,0,,01/05/2026,31/08/2026,50,SHALIMASSAGE
OFFER-199,Gannat Al-Lohoum BBQ,Grill Master Deal,عرض سيد الشواية,Free side dish with any large grill order on Fridays.,طبق جانبي مجاني مع أي طلب مشاوي كبير يوم الجمعة.,One side per large grill platter; dine-in only.,طبق جانبي واحد لكل صينية مشاوي كبيرة؛ داخل المطعم فقط.,0,,01/05/2026,30/09/2026,150,GRILLMASTER
